"Nome da campanha","Nome do conjunto de anúncios","Nome do anúncio",Dia,Alcance,Impressões,Moeda,"Valor usado (BRL)",Compras,"Valor de conversão da compra","Cliques no link","Adições ao carrinho",Contatos,"Finalizações de compra iniciadas",Leads,"Início dos relatórios","Encerramento dos relatórios"
"Instagram | Conversão 2026","Goiânia 26","[Vídeo] - Praticidade - Goiânia 26",2026-07-06,89,90,BRL,1.89,,,7,,,,,2026-07-06,2026-07-06
"Instagram | Conversão 2026","Goiânia 26","[Vídeo] - Trend Viral - Goiânia 26",2026-07-06,8,9,BRL,0.61,,,,,,,,2026-07-06,2026-07-06
"Instagram | Conversão 2026","Goiânia 26","[Vídeo] - Extratora HYLA — Goiânia 26",2026-07-06,1169,1239,BRL,51.6,1,,87,,,,6,2026-07-06,2026-07-06
"Instagram | Conversão 2026","[SP] BAIRROS NOBRES | SÃO PAULO & CIDADES DE SÃO PAULO","[Vídeo] Extratora HYLA — Bairros nobres SP",2026-07-06,2219,2266,BRL,68.57,2,,147,,,,7,2026-07-06,2026-07-06
"Instagram | Conversão 2026","Curitiba 26","[Vídeo] - Extratora - Curitiba 26",2026-07-06,1031,1085,BRL,38.98,1,,72,,,,2,2026-07-06,2026-07-06
"Instagram | Conversão 2026","Goiânia 26","[Vídeo] Célia Gava - Goiânia 26",2026-07-06,11,11,BRL,0.2,,,1,,,,,2026-07-06,2026-07-06
"Instagram | Conversão 2026","[SP] BAIRROS NOBRES | SÃO PAULO & CIDADES DE SÃO PAULO","[Vídeo] PRATICIDADE — Bairros Nobres SP",2026-07-06,2284,2422,BRL,38.86,4,,101,,1,,11,2026-07-06,2026-07-06
"Instagram | Conversão 2026","[SP] BAIRROS NOBRES | SÃO PAULO & CIDADES DE SÃO PAULO","[Vídeo] Trend Viral — Bairros nobres SP",2026-07-06,998,1060,BRL,41.4,1,,81,,,,13,2026-07-06,2026-07-06
"Instagram | Conversão 2026","Brasília 26","[Vídeo] Extratora HYLA - Brasília 26",2026-07-06,890,927,BRL,45.75,1,,60,,,,8,2026-07-06,2026-07-06
"Instagram | Conversão 2026","Brasília 26","[Vídeo] Célia Gava 1 M - Brasília 26",2026-07-06,134,140,BRL,5.15,,,6,,,,,2026-07-06,2026-07-06
"Instagram | Conversão 2026","Brasília 26","[Imagem] Benefícios - Brasília 26",2026-07-06,2,3,BRL,0.11,,,,,,,,2026-07-06,2026-07-06
"Instagram | Conversão 2026","[SP] BAIRROS NOBRES | SÃO PAULO & CIDADES DE SÃO PAULO","[Imagem] Saúde — Bairros nobres SP",2026-07-06,1,1,BRL,0.01,,,,,,,,2026-07-06,2026-07-06
"Instagram | Conversão 2026","Goiânia 26","[Imagem] Saúde - Goiânia 26",2026-07-06,3,15,BRL,0.26,,,,,,,,2026-07-06,2026-07-06
"Instagram | Conversão 2026","Goiânia 26","[Vídeo] - Praticidade - Goiânia 26",2026-07-05,48,51,BRL,1.02,,,7,,,,,2026-07-05,2026-07-05
"Instagram | Conversão 2026","Goiânia 26","[Vídeo] - Trend Viral - Goiânia 26",2026-07-05,4,4,BRL,0.24,,,,,,,,2026-07-05,2026-07-05
"Instagram | Conversão 2026","Goiânia 26","[Vídeo] - Extratora HYLA — Goiânia 26",2026-07-05,1220,1280,BRL,54.7,,,91,,,,15,2026-07-05,2026-07-05
"Instagram | Conversão 2026","[SP] BAIRROS NOBRES | SÃO PAULO & CIDADES DE SÃO PAULO","[Vídeo] Extratora HYLA — Bairros nobres SP",2026-07-05,3306,3435,BRL,110.82,3,,232,,,,16,2026-07-05,2026-07-05
"Instagram | Conversão 2026","Curitiba 26","[Vídeo] - Extratora - Curitiba 26",2026-07-05,1301,1330,BRL,46.6,,,92,,,,7,2026-07-05,2026-07-05
"Instagram | Conversão 2026","Goiânia 26","[Vídeo] Célia Gava - Goiânia 26",2026-07-05,1,1,BRL,0.05,,,,,,,,2026-07-05,2026-07-05
"Instagram | Conversão 2026","[SP] BAIRROS NOBRES | SÃO PAULO & CIDADES DE SÃO PAULO","[Vídeo] PRATICIDADE — Bairros Nobres SP",2026-07-05,2479,2685,BRL,42.18,4,,118,,,,8,2026-07-05,2026-07-05
"Instagram | Conversão 2026","[SP] BAIRROS NOBRES | SÃO PAULO & CIDADES DE SÃO PAULO","[Vídeo] Nimbus Tapete — Bairros nobres SP",2026-07-05,5,5,BRL,0.06,,,1,,,,,2026-07-05,2026-07-05
"Instagram | Conversão 2026","[SP] BAIRROS NOBRES | SÃO PAULO & CIDADES DE SÃO PAULO","[Vídeo] Trend Viral — Bairros nobres SP",2026-07-05,531,569,BRL,26.5,,,46,,,,12,2026-07-05,2026-07-05
"Instagram | Conversão 2026","Brasília 26","[Vídeo] Extratora HYLA - Brasília 26",2026-07-05,1111,1111,BRL,57.47,,,80,,,,8,2026-07-05,2026-07-05
"Instagram | Conversão 2026","Brasília 26","[Vídeo] Célia Gava 1 M - Brasília 26",2026-07-05,90,99,BRL,3.99,,,5,,,,1,2026-07-05,2026-07-05
"Instagram | Conversão 2026","Goiânia 26","[Imagem] Saúde - Goiânia 26",2026-07-05,3,3,BRL,0.01,,,,,,,,2026-07-05,2026-07-05
"Instagram | Conversão 2026","Goiânia 26","[Vídeo] - Praticidade - Goiânia 26",2026-07-04,3,3,BRL,0.03,,,,,,,,2026-07-04,2026-07-04
"Instagram | Conversão 2026","Goiânia 26","[Vídeo] - Trend Viral - Goiânia 26",2026-07-04,4,4,BRL,0.14,,,,,,,,2026-07-04,2026-07-04
"Instagram | Conversão 2026","Goiânia 26","[Vídeo] - Extratora HYLA — Goiânia 26",2026-07-04,890,908,BRL,33.95,1,,46,,,,2,2026-07-04,2026-07-04
"Instagram | Conversão 2026","[SP] BAIRROS NOBRES | SÃO PAULO & CIDADES DE SÃO PAULO","[Vídeo] Extratora HYLA — Bairros nobres SP",2026-07-04,3492,3565,BRL,88.77,2,,181,,,,30,2026-07-04,2026-07-04
"Instagram | Conversão 2026","Curitiba 26","[Vídeo] - Extratora - Curitiba 26",2026-07-04,1005,1070,BRL,35.76,1,,72,,,,11,2026-07-04,2026-07-04
"Instagram | Conversão 2026","[SP] BAIRROS NOBRES | SÃO PAULO & CIDADES DE SÃO PAULO","[Vídeo] PRATICIDADE — Bairros Nobres SP",2026-07-04,1175,1209,BRL,15.74,2,,55,,,,9,2026-07-04,2026-07-04
"Instagram | Conversão 2026","[SP] BAIRROS NOBRES | SÃO PAULO & CIDADES DE SÃO PAULO","[Vídeo] Nimbus Tapete — Bairros nobres SP",2026-07-04,3,3,BRL,0.02,,,,,,,,2026-07-04,2026-07-04
"Instagram | Conversão 2026","[SP] BAIRROS NOBRES | SÃO PAULO & CIDADES DE SÃO PAULO","[Vídeo] Trend Viral — Bairros nobres SP",2026-07-04,617,678,BRL,27.31,1,,50,,,,8,2026-07-04,2026-07-04
"Instagram | Conversão 2026","Brasília 26","[Vídeo] Extratora HYLA - Brasília 26",2026-07-04,1061,1096,BRL,45.63,,,77,,,,8,2026-07-04,2026-07-04
"Instagram | Conversão 2026","Brasília 26","[Vídeo] Célia Gava 1 M - Brasília 26",2026-07-04,258,288,BRL,6.75,,,8,,,,,2026-07-04,2026-07-04
"Instagram | Conversão 2026","Brasília 26","[Imagem] Benefícios - Brasília 26",2026-07-04,3,3,BRL,0.03,,,,,,,,2026-07-04,2026-07-04
"Instagram | Conversão 2026","Goiânia 26","[Imagem] Saúde - Goiânia 26",2026-07-04,3,8,BRL,0.05,,,,,,,,2026-07-04,2026-07-04
"Instagram | Conversão 2026","Goiânia 26","[Vídeo] - Praticidade - Goiânia 26",2026-07-03,58,61,BRL,1.1,,,2,,,,,2026-07-03,2026-07-03
"Instagram | Conversão 2026","Goiânia 26","[Vídeo] - Trend Viral - Goiânia 26",2026-07-03,1,1,BRL,0.01,,,,,,,,2026-07-03,2026-07-03
"Instagram | Conversão 2026","Goiânia 26","[Vídeo] - Extratora HYLA — Goiânia 26",2026-07-03,1024,1077,BRL,42.41,,,74,,,,11,2026-07-03,2026-07-03
"Instagram | Conversão 2026","[SP] BAIRROS NOBRES | SÃO PAULO & CIDADES DE SÃO PAULO","[Vídeo] Extratora HYLA — Bairros nobres SP",2026-07-03,3578,3740,BRL,112.52,2,,214,,,,13,2026-07-03,2026-07-03
"Instagram | Conversão 2026","Curitiba 26","[Vídeo] - Extratora - Curitiba 26",2026-07-03,1341,1417,BRL,43.14,2,,79,,,,14,2026-07-03,2026-07-03
"Instagram | Conversão 2026","Curitiba 26","[Vídeo] Célia Gava — Curitiba",2026-07-03,1,1,BRL,0,,,,,,,,2026-07-03,2026-07-03
"Instagram | Conversão 2026","Goiânia 26","[Vídeo] Célia Gava - Goiânia 26",2026-07-03,1,1,BRL,0.01,,,,,,,,2026-07-03,2026-07-03
"Instagram | Conversão 2026","[SP] BAIRROS NOBRES | SÃO PAULO & CIDADES DE SÃO PAULO","[Vídeo] PRATICIDADE — Bairros Nobres SP",2026-07-03,457,476,BRL,6.53,,,27,,,,,2026-07-03,2026-07-03
"Instagram | Conversão 2026","[SP] BAIRROS NOBRES | SÃO PAULO & CIDADES DE SÃO PAULO","[Vídeo] Trend Viral — Bairros nobres SP",2026-07-03,588,604,BRL,26.96,1,,47,,,,6,2026-07-03,2026-07-03
"Instagram | Conversão 2026","Brasília 26","[Vídeo] Extratora HYLA - Brasília 26",2026-07-03,875,894,BRL,40.78,,,52,,,,4,2026-07-03,2026-07-03
"Instagram | Conversão 2026","Brasília 26","[Vídeo] Célia Gava 1 M - Brasília 26",2026-07-03,344,388,BRL,13.3,,,13,,,,3,2026-07-03,2026-07-03
"Instagram | Conversão 2026","Brasília 26","[Imagem] Benefícios - Brasília 26",2026-07-03,2,2,BRL,0.04,,,,,,,3,2026-07-03,2026-07-03
"Instagram | Conversão 2026","Goiânia 26","[Imagem] Saúde - Goiânia 26",2026-07-03,3,5,BRL,0.02,,,,,,,,2026-07-03,2026-07-03
"Instagram | Conversão 2026","Goiânia 26","[Vídeo] - Praticidade - Goiânia 26",2026-07-02,50,55,BRL,0.6,,,3,,,,,2026-07-02,2026-07-02
"Instagram | Conversão 2026","Goiânia 26","[Vídeo] - Trend Viral - Goiânia 26",2026-07-02,101,110,BRL,4.37,1,,8,,,,,2026-07-02,2026-07-02
"Instagram | Conversão 2026","Goiânia 26","[Vídeo] - Extratora HYLA — Goiânia 26",2026-07-02,1404,1520,BRL,55.02,2,,89,,,,8,2026-07-02,2026-07-02
"Instagram | Conversão 2026","[SP] BAIRROS NOBRES | SÃO PAULO & CIDADES DE SÃO PAULO","[Vídeo] Extratora HYLA — Bairros nobres SP",2026-07-02,3189,3345,BRL,97.36,1,,177,,1,,23,2026-07-02,2026-07-02
"Instagram | Conversão 2026","Curitiba 26","[Vídeo] - Extratora - Curitiba 26",2026-07-02,1168,1247,BRL,48.93,3,,82,,,,13,2026-07-02,2026-07-02
"Instagram | Conversão 2026","Curitiba 26","[Vídeo] Célia Gava — Curitiba",2026-07-02,20,21,BRL,0.12,,,,,,,,2026-07-02,2026-07-02
"Instagram | Conversão 2026","Goiânia 26","[Vídeo] Célia Gava - Goiânia 26",2026-07-02,1,1,BRL,0.01,,,,,,,,2026-07-02,2026-07-02
"Instagram | Conversão 2026","[SP] BAIRROS NOBRES | SÃO PAULO & CIDADES DE SÃO PAULO","[Vídeo] PRATICIDADE — Bairros Nobres SP",2026-07-02,615,660,BRL,8.71,1,,32,,,,,2026-07-02,2026-07-02
"Instagram | Conversão 2026","[SP] BAIRROS NOBRES | SÃO PAULO & CIDADES DE SÃO PAULO","[Vídeo] Nimbus Tapete — Bairros nobres SP",2026-07-02,16,16,BRL,0.39,,,,,,,,2026-07-02,2026-07-02
"Instagram | Conversão 2026","[SP] BAIRROS NOBRES | SÃO PAULO & CIDADES DE SÃO PAULO","[Vídeo] Trend Viral — Bairros nobres SP",2026-07-02,1723,1895,BRL,71.39,1,,146,,,,9,2026-07-02,2026-07-02
"Instagram | Conversão 2026","Brasília 26","[Vídeo] Extratora HYLA - Brasília 26",2026-07-02,1347,1480,BRL,48.09,1,,67,1,,,5,2026-07-02,2026-07-02
"Instagram | Conversão 2026","Brasília 26","[Vídeo] Célia Gava 1 M - Brasília 26",2026-07-02,171,178,BRL,7.27,,,10,,,,3,2026-07-02,2026-07-02
"Instagram | Conversão 2026","Brasília 26","[Imagem] Benefícios - Brasília 26",2026-07-02,5,5,BRL,0.16,,,,,,,,2026-07-02,2026-07-02
"Instagram | Conversão 2026","Goiânia 26","[Imagem] Saúde - Goiânia 26",2026-07-02,4,8,BRL,0.11,,,,,,,,2026-07-02,2026-07-02
"Instagram | Conversão 2026","Goiânia 26","[Vídeo] - Praticidade - Goiânia 26",2026-07-01,22,22,BRL,0.57,,,2,,,,1,2026-07-01,2026-07-01
"Instagram | Conversão 2026","Goiânia 26","[Vídeo] - Trend Viral - Goiânia 26",2026-07-01,92,99,BRL,3.2,,,5,,,,,2026-07-01,2026-07-01
"Instagram | Conversão 2026","Goiânia 26","[Vídeo] - Extratora HYLA — Goiânia 26",2026-07-01,940,960,BRL,35.74,2,,68,,,,3,2026-07-01,2026-07-01
"Instagram | Conversão 2026","[SP] BAIRROS NOBRES | SÃO PAULO & CIDADES DE SÃO PAULO","[Vídeo] Extratora HYLA — Bairros nobres SP",2026-07-01,1845,1946,BRL,59.93,5,,96,,,,14,2026-07-01,2026-07-01
"Instagram | Conversão 2026","Curitiba 26","[Vídeo] - Extratora - Curitiba 26",2026-07-01,811,875,BRL,30.18,,,50,,,,12,2026-07-01,2026-07-01
"Instagram | Conversão 2026","Curitiba 26","[Vídeo] Célia Gava — Curitiba",2026-07-01,146,172,BRL,1.25,,,2,,,,,2026-07-01,2026-07-01
"Instagram | Conversão 2026","Goiânia 26","[Vídeo] Célia Gava - Goiânia 26",2026-07-01,5,5,BRL,0.06,,,2,,,,,2026-07-01,2026-07-01
"Instagram | Conversão 2026","[SP] BAIRROS NOBRES | SÃO PAULO & CIDADES DE SÃO PAULO","[Vídeo] PRATICIDADE — Bairros Nobres SP",2026-07-01,959,1069,BRL,11.95,,,38,,,,1,2026-07-01,2026-07-01
"Instagram | Conversão 2026","[SP] BAIRROS NOBRES | SÃO PAULO & CIDADES DE SÃO PAULO","[Vídeo] Trend Viral — Bairros nobres SP",2026-07-01,1019,1092,BRL,35.94,,,48,,,,2,2026-07-01,2026-07-01
"Instagram | Conversão 2026","Brasília 26","[Vídeo] Extratora HYLA - Brasília 26",2026-07-01,2281,2867,BRL,30.85,1,,41,,2,,2,2026-07-01,2026-07-01
"Instagram | Conversão 2026","[SP] BAIRROS NOBRES | SÃO PAULO & CIDADES DE SÃO PAULO","[Imagem] Saúde — Bairros nobres SP",2026-07-01,2,2,BRL,0.01,,,,,,,,2026-07-01,2026-07-01
"Instagram | Conversão 2026","Goiânia 26","[Imagem] Saúde - Goiânia 26",2026-07-01,17,25,BRL,0.31,,,,,,,,2026-07-01,2026-07-01
"Instagram | Conversão 2026","Goiânia 26","[Vídeo] - Praticidade - Goiânia 26",2026-06-30,284,297,BRL,5.1,,,19,,,,,2026-06-30,2026-06-30
"Instagram | Conversão 2026","Goiânia 26","[Vídeo] - Trend Viral - Goiânia 26",2026-06-30,613,652,BRL,28.44,,,48,,,,,2026-06-30,2026-06-30
"Instagram | Conversão 2026","Goiânia 26","[Vídeo] - Extratora HYLA — Goiânia 26",2026-06-30,404,412,BRL,14.04,,,25,,,,1,2026-06-30,2026-06-30
"Instagram | Conversão 2026","[SP] BAIRROS NOBRES | SÃO PAULO & CIDADES DE SÃO PAULO","[Vídeo] Extratora HYLA — Bairros nobres SP",2026-06-30,1499,1584,BRL,40.67,2,,101,,,,3,2026-06-30,2026-06-30
"Instagram | Conversão 2026","Curitiba 26","[Vídeo] - Extratora - Curitiba 26",2026-06-30,1034,1074,BRL,30.68,1,,60,,,,2,2026-06-30,2026-06-30
"Instagram | Conversão 2026","Curitiba 26","[Vídeo] Célia Gava — Curitiba",2026-06-30,366,405,BRL,4.28,1,,7,,,,,2026-06-30,2026-06-30
"Instagram | Conversão 2026","Goiânia 26","[Vídeo] Célia Gava - Goiânia 26",2026-06-30,340,355,BRL,11.47,,,10,,,,,2026-06-30,2026-06-30
"Instagram | Conversão 2026","[SP] BAIRROS NOBRES | SÃO PAULO & CIDADES DE SÃO PAULO","[Vídeo] PRATICIDADE — Bairros Nobres SP",2026-06-30,3561,3697,BRL,42.7,3,,163,2,,,1,2026-06-30,2026-06-30
"Instagram | Conversão 2026","[SP] BAIRROS NOBRES | SÃO PAULO & CIDADES DE SÃO PAULO","[Vídeo] Nimbus Tapete — Bairros nobres SP",2026-06-30,89,98,BRL,0.96,,,2,,,,,2026-06-30,2026-06-30
"Instagram | Conversão 2026","[SP] BAIRROS NOBRES | SÃO PAULO & CIDADES DE SÃO PAULO","[Vídeo] Trend Viral — Bairros nobres SP",2026-06-30,2050,2189,BRL,69.19,1,,135,,,,13,2026-06-30,2026-06-30
"Instagram | Conversão 2026","Brasília 26","[Vídeo] Extratora HYLA - Brasília 26",2026-06-30,2147,2354,BRL,51.25,,,94,,,,3,2026-06-30,2026-06-30
"Instagram | Conversão 2026","Brasília 26","[Vídeo] Célia Gava 1 M - Brasília 26",2026-06-30,26,26,BRL,0.57,,,2,,,,,2026-06-30,2026-06-30
"Instagram | Conversão 2026","Brasília 26","[Imagem] Benefícios - Brasília 26",2026-06-30,4,4,BRL,0.04,,,1,,,,,2026-06-30,2026-06-30
"Instagram | Conversão 2026","Goiânia 26","[Imagem] Saúde - Goiânia 26",2026-06-30,17,24,BRL,0.25,,,,,,,,2026-06-30,2026-06-30
"Instagram | Conversão 2026","Goiânia 26","[Vídeo] - Praticidade - Goiânia 26",2026-06-29,381,392,BRL,6.98,1,,18,,,,1,2026-06-29,2026-06-29
"Instagram | Conversão 2026","Goiânia 26","[Vídeo] - Trend Viral - Goiânia 26",2026-06-29,58,60,BRL,3.36,,,6,,,,,2026-06-29,2026-06-29
"Instagram | Conversão 2026","Goiânia 26","[Vídeo] - Extratora HYLA — Goiânia 26",2026-06-29,619,642,BRL,19.2,,,34,,,,,2026-06-29,2026-06-29
"Instagram | Conversão 2026","[SP] BAIRROS NOBRES | SÃO PAULO & CIDADES DE SÃO PAULO","[Vídeo] Extratora HYLA — Bairros nobres SP",2026-06-29,773,773,BRL,20.02,,,56,,,,,2026-06-29,2026-06-29
"Instagram | Conversão 2026","Curitiba 26","[Vídeo] - Extratora - Curitiba 26",2026-06-29,1242,1310,BRL,33.58,1,,90,,,,2,2026-06-29,2026-06-29
"Instagram | Conversão 2026","Curitiba 26","[Vídeo] Célia Gava — Curitiba",2026-06-29,17,17,BRL,0.36,,,,,,,,2026-06-29,2026-06-29
"Instagram | Conversão 2026","Goiânia 26","[Vídeo] Célia Gava - Goiânia 26",2026-06-29,2,2,BRL,0.03,,,,,,,,2026-06-29,2026-06-29
"Instagram | Conversão 2026","[SP] BAIRROS NOBRES | SÃO PAULO & CIDADES DE SÃO PAULO","[Vídeo] PRATICIDADE — Bairros Nobres SP",2026-06-29,8319,8609,BRL,91.34,1,,448,,,,5,2026-06-29,2026-06-29
"Instagram | Conversão 2026","[SP] BAIRROS NOBRES | SÃO PAULO & CIDADES DE SÃO PAULO","[Vídeo] Trend Viral — Bairros nobres SP",2026-06-29,2596,2741,BRL,71.18,1,,166,,,,6,2026-06-29,2026-06-29
"Instagram | Conversão 2026","Brasília 26","[Vídeo] Extratora HYLA - Brasília 26",2026-06-29,463,478,BRL,16.99,,,29,,,,,2026-06-29,2026-06-29
"Instagram | Conversão 2026","Brasília 26","[Vídeo] Célia Gava 1 M - Brasília 26",2026-06-29,5,5,BRL,0.06,,,,,,,,2026-06-29,2026-06-29
"Instagram | Conversão 2026","Goiânia 26","[Imagem] Saúde - Goiânia 26",2026-06-29,308,415,BRL,8.8,,,9,,,,,2026-06-29,2026-06-29
"Instagram | Conversão 2026","Goiânia 26","[Vídeo] - Praticidade - Goiânia 26",2026-06-28,835,861,BRL,13.2,1,,36,,,,,2026-06-28,2026-06-28
"Instagram | Conversão 2026","Goiânia 26","[Vídeo] - Trend Viral - Goiânia 26",2026-06-28,352,368,BRL,14.2,,,23,,,,2,2026-06-28,2026-06-28
"Instagram | Conversão 2026","Goiânia 26","[Vídeo] - Extratora HYLA — Goiânia 26",2026-06-28,143,149,BRL,5.45,,,4,,,,,2026-06-28,2026-06-28
"Instagram | Conversão 2026","[SP] BAIRROS NOBRES | SÃO PAULO & CIDADES DE SÃO PAULO","[Vídeo] Extratora HYLA — Bairros nobres SP",2026-06-28,1639,1650,BRL,41.81,3,,119,,,,11,2026-06-28,2026-06-28
"Instagram | Conversão 2026","Curitiba 26","[Vídeo] - Extratora - Curitiba 26",2026-06-28,1777,1816,BRL,41.32,3,,115,,,,4,2026-06-28,2026-06-28
"Instagram | Conversão 2026","Curitiba 26","[Vídeo] Célia Gava — Curitiba",2026-06-28,51,52,BRL,1.68,,,1,,,,1,2026-06-28,2026-06-28
"Instagram | Conversão 2026","Goiânia 26","[Vídeo] Célia Gava - Goiânia 26",2026-06-28,182,197,BRL,8.92,1,,11,,,,,2026-06-28,2026-06-28
"Instagram | Conversão 2026","[SP] BAIRROS NOBRES | SÃO PAULO & CIDADES DE SÃO PAULO","[Vídeo] PRATICIDADE — Bairros Nobres SP",2026-06-28,16198,17286,BRL,160.77,29,,931,,2,,39,2026-06-28,2026-06-28
"Instagram | Conversão 2026","[SP] BAIRROS NOBRES | SÃO PAULO & CIDADES DE SÃO PAULO","[Vídeo] Trend Viral — Bairros nobres SP",2026-06-28,1799,1828,BRL,43.9,4,,119,,1,,2,2026-06-28,2026-06-28
"Instagram | Conversão 2026","Brasília 26","[Vídeo] Extratora HYLA - Brasília 26",2026-06-28,1039,1064,BRL,32.11,2,,76,,,,,2026-06-28,2026-06-28
"Instagram | Conversão 2026","Brasília 26","[Vídeo] Célia Gava 1 M - Brasília 26",2026-06-28,16,17,BRL,0.91,,,1,,,,,2026-06-28,2026-06-28
"Instagram | Conversão 2026","[SP] BAIRROS NOBRES | SÃO PAULO & CIDADES DE SÃO PAULO","[Imagem] Saúde — Bairros nobres SP",2026-06-28,3,3,BRL,0.01,,,,,,,,2026-06-28,2026-06-28
"Instagram | Conversão 2026","Goiânia 26","[Imagem] Saúde - Goiânia 26",2026-06-28,68,81,BRL,1.31,,,2,,,,,2026-06-28,2026-06-28
"Instagram | Conversão 2026","Goiânia 26","[Vídeo] - Praticidade - Goiânia 26",2026-06-27,334,350,BRL,5.43,,,20,,,,1,2026-06-27,2026-06-27
"Instagram | Conversão 2026","Goiânia 26","[Vídeo] - Trend Viral - Goiânia 26",2026-06-27,326,338,BRL,13.93,,,19,,,,,2026-06-27,2026-06-27
"Instagram | Conversão 2026","[SP] BAIRROS NOBRES | SÃO PAULO & CIDADES DE SÃO PAULO","[Vídeo] Extratora HYLA — Bairros nobres SP",2026-06-27,448,459,BRL,12.66,1,,38,,,,,2026-06-27,2026-06-27
"Instagram | Conversão 2026","Curitiba 26","[Vídeo] - Extratora - Curitiba 26",2026-06-27,1159,1174,BRL,29.07,1,,71,,,,4,2026-06-27,2026-06-27
"Instagram | Conversão 2026","[SP] BAIRROS NOBRES | SÃO PAULO & CIDADES DE SÃO PAULO","[Vídeo] PRATICIDADE — Bairros Nobres SP",2026-06-27,11323,12049,BRL,118,27,,646,,1,,16,2026-06-27,2026-06-27
"Instagram | Conversão 2026","[SP] BAIRROS NOBRES | SÃO PAULO & CIDADES DE SÃO PAULO","[Vídeo] Trend Viral — Bairros nobres SP",2026-06-27,2384,2543,BRL,82.95,2,,218,,,,22,2026-06-27,2026-06-27
"Instagram | Conversão 2026","Brasília 26","[Vídeo] Extratora HYLA - Brasília 26",2026-06-27,792,818,BRL,24.79,1,,41,,,,2,2026-06-27,2026-06-27
"Instagram | Conversão 2026","Brasília 26","[Imagem] Benefícios - Brasília 26",2026-06-27,7,7,BRL,0.11,,,1,,,,,2026-06-27,2026-06-27
"Instagram | Conversão 2026","Goiânia 26","[Imagem] Saúde - Goiânia 26",2026-06-27,114,129,BRL,1.65,,,2,,,,,2026-06-27,2026-06-27
"Instagram | Conversão 2026","Goiânia 26","[Vídeo] - Praticidade - Goiânia 26",2026-06-26,73,74,BRL,1.47,,,2,,,,1,2026-06-26,2026-06-26
"Instagram | Conversão 2026","Goiânia 26","[Vídeo] - Trend Viral - Goiânia 26",2026-06-26,27,28,BRL,1.09,,,,,,,,2026-06-26,2026-06-26
"Instagram | Conversão 2026","Goiânia 26","[Vídeo] - Extratora HYLA — Goiânia 26",2026-06-26,1100,1130,BRL,30.5,1,,49,,,,5,2026-06-26,2026-06-26
"Instagram | Conversão 2026","[SP] BAIRROS NOBRES | SÃO PAULO & CIDADES DE SÃO PAULO","[Vídeo] Extratora HYLA — Bairros nobres SP",2026-06-26,823,844,BRL,21.11,1,,57,,,,,2026-06-26,2026-06-26
"Instagram | Conversão 2026","Curitiba 26","[Vídeo] - Extratora - Curitiba 26",2026-06-26,1468,1478,BRL,36.05,1,,106,,,,4,2026-06-26,2026-06-26
"Instagram | Conversão 2026","Curitiba 26","[Vídeo] Célia Gava — Curitiba",2026-06-26,87,88,BRL,0.9,,,3,,,,,2026-06-26,2026-06-26
"Instagram | Conversão 2026","Goiânia 26","[Vídeo] Célia Gava - Goiânia 26",2026-06-26,4,4,BRL,0.1,,,,,,,,2026-06-26,2026-06-26
"Instagram | Conversão 2026","[SP] BAIRROS NOBRES | SÃO PAULO & CIDADES DE SÃO PAULO","[Vídeo] PRATICIDADE — Bairros Nobres SP",2026-06-26,15684,16813,BRL,153.35,30,,755,,,,15,2026-06-26,2026-06-26
"Instagram | Conversão 2026","[SP] BAIRROS NOBRES | SÃO PAULO & CIDADES DE SÃO PAULO","[Vídeo] Trend Viral — Bairros nobres SP",2026-06-26,250,264,BRL,9.44,,,15,,,,1,2026-06-26,2026-06-26
"Instagram | Conversão 2026","Brasília 26","[Vídeo] Extratora HYLA - Brasília 26",2026-06-26,1266,1369,BRL,37.15,3,,84,,1,,5,2026-06-26,2026-06-26
"Instagram | Conversão 2026","Brasília 26","[Vídeo] Célia Gava 1 M - Brasília 26",2026-06-26,18,19,BRL,0.42,,,,,,,,2026-06-26,2026-06-26
"Instagram | Conversão 2026","[SP] BAIRROS NOBRES | SÃO PAULO & CIDADES DE SÃO PAULO","[Imagem] Saúde — Bairros nobres SP",2026-06-26,11,13,BRL,0.05,,,1,,,,,2026-06-26,2026-06-26
"Instagram | Conversão 2026","Goiânia 26","[Imagem] Saúde - Goiânia 26",2026-06-26,280,362,BRL,9.51,,,8,,,,,2026-06-26,2026-06-26
"Instagram | Conversão 2026","Goiânia 26","[Vídeo] - Praticidade - Goiânia 26",2026-06-25,301,317,BRL,6.86,1,,12,,,,,2026-06-25,2026-06-25
"Instagram | Conversão 2026","Goiânia 26","[Vídeo] - Trend Viral - Goiânia 26",2026-06-25,401,422,BRL,15.98,,,48,,,,2,2026-06-25,2026-06-25
"Instagram | Conversão 2026","[SP] BAIRROS NOBRES | SÃO PAULO & CIDADES DE SÃO PAULO","[Vídeo] Extratora HYLA — Bairros nobres SP",2026-06-25,530,550,BRL,14.33,1,,32,,,,1,2026-06-25,2026-06-25
"Instagram | Conversão 2026","Curitiba 26","[Vídeo] - Extratora - Curitiba 26",2026-06-25,1305,1320,BRL,35.28,1,,101,,,,2,2026-06-25,2026-06-25
"Instagram | Conversão 2026","Curitiba 26","[Vídeo] Célia Gava — Curitiba",2026-06-25,49,50,BRL,0.76,,,,,,,,2026-06-25,2026-06-25
"Instagram | Conversão 2026","Goiânia 26","[Vídeo] Célia Gava - Goiânia 26",2026-06-25,53,54,BRL,1.55,,,2,,,,,2026-06-25,2026-06-25
